Shopify SKU,Supplier SKU,UPC,Model Number,Product Type,Manufacturer Weblink,Cost,Shipping Fee,List Price,Lowest Price,Lowest Price Link,MAP Price,MSRP,Notes,Shipping Length,Shipping Width,Shipping Height,Shipping Weight,Shipping Class,Shipping NMFC,Shipping Sub,Shipping Additional Info,Shipping Method
203004,203004,,EDC1430A-6,Desiccator Cabinets,https://mechmaxx.com/products/1430-l-electric-dry-cabinet-20-60-rh-desiccator-cabinet-low-humidity?_pos=1&_sid=d7fdfa591&_ss=r,2599,,3399,3399,,3399,3399,,51,31,80,477,125,,,,
203005,203005,,EDC320C,Desiccator Cabinets,https://mechmaxx.com/products/320-l-electric-dry-cabinet-1-10-rh-desiccator-cabinet-low-humidity?_pos=1&_sid=18ae0d18a&_ss=r,1599,,2099,2099,,2099,2099,,40,22,47,209,100,,,,
203006,203006,,EDC540C,Desiccator Cabinets,https://mechmaxx.com/products/540-l-electric-dry-cabinet-1-10-rh-desiccator-cabinet-low-humidity?_pos=1&_sid=9c35fd3ae&_ss=r,1899,,2599,2599,,2599,2599,,28,31,66,249,125,,,,
203007,203007,,EDC880C,Desiccator Cabinets,https://mechmaxx.com/products/880-l-electric-dry-cabinet-1-10-rh-desiccator-cabinet-low-humidity?_pos=1&_sid=ae289dc30&_ss=r,2399,,3099,3099,,3099,3099,Sold Out,40,28,81,380,125,,,,
203008,203008,,EDC1430C-6,Desiccator Cabinets,https://mechmaxx.com/products/1430-l-electric-dry-cabinet-1-10-rh-desiccator-cabinet-low-humidity?_pos=1&_sid=70110ed5c&_ss=r,2899,,3699,3699,,3699,3699,,51,31,80,492,125,,,,
203009,203009,,NC1430B-6,Desiccator Cabinets,https://mechmaxx.com/products/1430-l-nitrogen-dry-cabinet-1-60-rh-desiccator-cabinet-low-humidity?_pos=1&_sid=c792d59dc&_ss=r,2999,,3899,3899,,3899,3899,,55,31,80,486,125,,,,
203010,203010,,EDC730A,Desiccator Cabinets,https://mechmaxx.com/products/20-60-rh-electronic-dry-cabinet-730l-esd-desiccator-cabinet-low-humidity-storage-edc730a?_pos=1&_sid=5af739dad&_ss=r,1999,,2599,2599,,2599,2599,,28,31,79,295,125,,,,
203011,203011,,EDC730C,Desiccator Cabinets,https://mechmaxx.com/products/1-10-rh-electronic-dry-cabinet-730l-esd-desiccator-cabinet-ultra-low-humidity-storage-edc730c?_pos=1&_sid=b71629c72&_ss=r,2199,,2899,2899,,2899,2899,,28,31,79,306,125,,,,
203012,203012,,EDC210A,Desiccator Cabinets,https://mechmaxx.com/products/20-60-rh-electronic-dry-cabinet-210l-esd-desiccator-cabinet-low-humidity-storage-edc210a?_pos=1&_sid=4b1a00d85&_ss=r,999,,1299,1299,,1299,1299,,28,31,33,146,,,,,
202013LA,202013LA,,F26-98SLA,Stackers,https://mechmaxx.com/products/2640lbs-electric-straddle-stacker-98-lift-adjustable-legs-forks-f26-98sla?_pos=1&_sid=fbf33d299&_ss=r,3299,,4399,4399,,4399,4399,,39,37,77,1455,65,,,,
202007LA,202007LA,,F26-118SLA,Stackers,https://mechmaxx.com/products/2640lbs-electric-straddle-stacker-118-lift-adjustable-legs-forks-f26-118sla?_pos=1&_sid=bad636f74&_ss=r,3499,,4699,4699,,4699,4699,,39,37,87,1510,70,,,,
202008LA,202008LA,,F26-138SLA,Stackers,https://mechmaxx.com/products/2640lbs-electric-straddle-stacker-138-lift-adjustable-legs-forks-f26-138sla?_pos=1&_sid=ee20cd852&_ss=r,3699,,4899,4899,,4899,4899,,39,37,96,1565,70,,,,
202009LA,202009LA,,F33-98SLA,Stackers,https://mechmaxx.com/products/3300lbs-electric-straddle-stacker-98-lift-adjustable-legs-forks-f33-98sla?_pos=1&_sid=57d6d94a0&_ss=r,3499,,4699,4699,,4699,4699,Sold Out,43,37,77,1510,70,,,,
202010LA,202010LA,,F33-118SLA,Stackers,https://mechmaxx.com/products/3300lbs-electric-straddle-stacker-118-lift-adjustable-legs-forks-f33-118sla?_pos=1&_sid=d146cd942&_ss=r,3699,,4899,4899,,4899,4899,,43,37,87,1565,70,,,,
202014LA,202014LA,,F33-138SLA,Stackers,https://mechmaxx.com/products/3300lbs-electric-straddle-stacker-138-lift-adjustable-legs-forks-f33-138sla?_pos=1&_sid=71276ce0a&_ss=r,3799,,5099,5099,,5099,5099,Sold Out,43,37,96,1620,70,,,,
203012W,203012W,,EDC210AW,Desiccator Cabinets,https://mechmaxx.com/products/20-60-rh-electronic-dry-cabinet-210l-esd-desiccator-cabinet-low-humidity-storage-white-edc210aw?_pos=1&_sid=06174db08&_ss=r,999,,1299,1299,,1299,1299,,28,31,33,146,,,,,
203001W,203001W,,EDC320AW,Desiccator Cabinets,https://mechmaxx.com/products/20-60-rh-electronic-dry-cabinet-320l-esd-desiccator-cabinet-low-humidity-storage-white-edc320aw?_pos=1&_sid=9401b829d&_ss=r,1399,,1799,1799,,1799,1799,,40,22,47,204,100,,,,
203002W,203002W,,EDC540AW,Desiccator Cabinets,https://mechmaxx.com/products/20-60-rh-electronic-dry-cabinet-540l-esd-desiccator-cabinet-low-humidity-storage-white-edc540aw?_pos=1&_sid=bb2d13c72&_ss=r,1799,,2299,2299,,2299,2299,,28,31,66,243,125,,,,
203010W,203010W,,EDC730AW,Desiccator Cabinets,https://mechmaxx.com/products/20-60-rh-electronic-dry-cabinet-730l-esd-desiccator-cabinet-low-humidity-storage-white-edc730aw?_pos=1&_sid=df943197b&_ss=r,1999,,2599,2599,,2599,2599,,28,31,79,295,125,,,,
203003W,203003W,,EDC880AW,Desiccator Cabinets,https://mechmaxx.com/products/20-60-rh-electronic-dry-cabinet-880l-esd-desiccator-cabinet-low-humidity-storage-white-edc880aw?_pos=1&_sid=586d603f1&_ss=r,2199,,2799,2799,,2799,2799,,40,28,81,370,125,,,,
