Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
G5851ZWAR03,"24"" 5 HP Planer - 3 Year Warranty","$8,675.00","$6,948.00",525,"$7,720.00",Unavailable,FALSE,Grizzly,,,LTL Freight,"$1,202.00",13.86%
G0964,1-1/2 HP Portable Fume Extractor with Precision Arm,"$4,995.00","$4,045.50",259,"$4,495.00",Available,FALSE,Grizzly,TW,690550675782,LTL Freight,$690.50,13.82%
T34071,110-Pc. SAE/Metric Combination M2 HSS Tap & Die Set,$695.00,$599.00,0,,Available,FALSE,Grizzly Precision,CN,690550815942,Parcel,$96.00,13.81%
G0940,"13"" 2 HP Benchtop Planer w/ Helical Cutterhead",$949.00,$759.60,59.95,$844.00,Available,FALSE,Grizzly,CN,690550381232,Parcel,$129.45,13.64%
G0769,"8"" x 16"" Variable-Speed Combination Lathe/Mill","$2,995.00","$2,371.50",215,"$2,635.00",Available,FALSE,Grizzly,CN,690550427510,LTL Freight,$408.50,13.64%
T25926WAR05,"10"" x 18"" Variable-Speed Benchtop Wood Lathe - 5 Year Warranty",$615.00,$481.50,49.95,$535.00,Unavailable,FALSE,Grizzly,,,Parcel,$83.55,13.59%
G1023RLWWAR05,"10"" 3 HP 240V Cabinet Table Saw with Built-in Router Table - 5 Year Warranty","$3,475.00","$2,659.50",349,"$2,955.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$466.50,13.42%
T33963,"20"" Floor Variable-Speed Tapping Drill Press","$3,495.00","$2,767.50",259,"$3,075.00",Available,FALSE,Grizzly,CN,690550055195,LTL Freight,$468.50,13.40%
D4457,"18"" Self-Closing Ball Bearing Drawer Slide",$17.95,$6.56,8.99,,Available,FALSE,Shop Fox,CN,754001011922,Parcel,$2.40,13.37%
G1071WAR05,1 HP Oscillating Spindle Sander - 5 Year Warranty,"$1,975.00","$1,512.00",199,"$1,680.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$264.00,13.37%
G5851Z,"24"" 5 HP Planer","$7,995.00","$6,403.50",525,"$7,115.00",Available,FALSE,Grizzly,TW,690550758515,LTL Freight,"$1,066.50",13.34%
T33926WAR05,"2/3 HP Variable-Speed 4-Roller Power Feeder, Single-Phase - 5 Year Warranty","$1,820.00","$1,507.50",69.95,"$1,675.00",Unavailable,FALSE,Grizzly,,,Parcel,$242.55,13.33%
G4176WAR05,"1/4 HP 4-Speed 3-Roller Power Feeder, Single-Phase - 5 Year Warranty",$995.00,$823.50,39.95,$915.00,Unavailable,FALSE,Grizzly,,,Parcel,$131.55,13.22%
T34296,45-Pc. SAE M2 HSS Tap and Die Set,$395.00,$343.00,0,,Available,FALSE,Grizzly Precision,CN,690550779541,Parcel,$52.00,13.16%
T34297,45-Pc. Metric M2 HSS Tap and Die Set,$395.00,$343.00,0,,Available,FALSE,Grizzly Precision,CN,690550007880,Parcel,$52.00,13.16%
T25926WAR03,"10"" x 18"" Variable-Speed Benchtop Wood Lathe - 3 Year Warranty",$560.00,$436.50,49.95,$485.00,Unavailable,FALSE,Grizzly,,,Parcel,$73.55,13.13%
W1732,Adjustable Roller Table,$395.00,$343.15,0,,Unavailable,FALSE,Shop Fox,CN,754001007321,Parcel,$51.85,13.13%
T34070,110-Pc. Metric M2 HSS Tap & Die Set,$595.00,$517.00,0,,Available,FALSE,Grizzly Precision,CN,690550655494,Parcel,$78.00,13.11%
T33926WAR03,"2/3 HP Variable-Speed 4-Roller Power Feeder, Single-Phase - 3 Year Warranty","$1,690.00","$1,399.50",69.95,"$1,555.00",Unavailable,FALSE,Grizzly,,,Parcel,$220.55,13.05%
G1066ZWAR05,"24"" 5 HP Variable-Speed Drum Sander - 5 Year Warranty","$4,380.00","$3,550.50",259,"$3,945.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$570.50,13.03%
G1026WAR05,3 HP Shaper - 5 Year Warranty,"$2,305.00","$1,746.00",259,"$1,940.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$300.00,13.02%
T32536WAR03,"8"" x 13"" Variable-Speed Benchtop Wood Lathe - 3 Year Warranty",$350.00,$274.50,29.95,$305.00,Unavailable,FALSE,Grizzly,,,Parcel,$45.55,13.01%
G4176WAR03,"1/4 HP 4-Speed 3-Roller Power Feeder, Single-Phase - 3 Year Warranty",$915.00,$756.00,39.95,$840.00,Unavailable,FALSE,Grizzly,,,Parcel,$119.05,13.01%
G0937WAR05,"6"" x 10"" Combo Lathe/Mill - 5 Year Warranty","$1,645.00","$1,233.00",199,"$1,370.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$213.00,12.95%
